"","Views","Title","Department","Details","Amount","Date","Place","ID"
"235","183 views","
                      I Paid Rs. 200000 to Municipal Services in New Delhi.
                    ","Municipal Services","Birth Certificate","Paid INR 2,00,000
                        ","October 26, 2015","New Delhi
                      , Delhi","80692"
"236","199 views","
                      I Paid Rs. 100 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 100
                        ","October 26, 2015","Bangalore
                      , Karnataka","80686"
"237","227 views","
                      I Paid Rs. 625000 to Police in Madurai.
                    ","Police","Traffic Violations","Paid INR 6,25,000
                        ","October 26, 2015","Madurai
                      , Tamil Nadu","80669"
"238","186 views","
                      I Paid Rs. 1 to Others in Indore.
                    ","Others","Others","Paid INR 1
                        ","October 26, 2015","Indore
                      , Madhya Pradesh","80646"
"239","176 views","
                      I Paid Rs. 15000 to Municipal Services in Anandnagaar.
                    ","Municipal Services","Birth Certificate","Paid INR 15,000
                        ","October 26, 2015","Anandnagaar
                      , Assam","80636"
"240","166 views","
                      I Paid Rs. 10 to Municipal Services in Kolkata.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 26, 2015","Kolkata
                      , West Bengal","80619"
"241","170 views","
                      I Paid Rs. 23 to Municipal Services in Gulbarga.
                    ","Municipal Services","Birth Certificate","Paid INR 23
                        ","October 26, 2015","Gulbarga
                      , Karnataka","80615"
"242","209 views","
                      I Paid Rs. 20 to Railways in Abhayapuri.
                    ","Railways","Transport of Goods","Paid INR 20
                        ","October 26, 2015","Abhayapuri
                      , Assam","80608"
"243","192 views","
                      I Paid Rs. 13 to Customs, Excise and Service Tax in Abhayapuri.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 13
                        ","October 26, 2015","Abhayapuri
                      , Assam","80597"
"244","154 views","
                      I Paid Rs. 10 to Municipal Services in Gurgaon.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 26, 2015","Gurgaon
                      , Haryana","80594"
"245","220 views","
                      I Paid Rs. 300 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 300
                        ","October 26, 2015","Bangalore
                      , Karnataka","80589"
"246","210 views","
                      I Paid Rs. 7000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 7,000
                        ","October 25, 2015","Abhayapuri
                      , Assam","80581"
"247","219 views","
                      Bribe given to issue RTC of the land
                    ","Revenue","Urban Land Ceiling Clearance Certificate","Paid INR 35,000
                        ","October 25, 2015","Chikmagalur
                      , Karnataka","80570"
"248","517 views","
                      The Sub Registrar collected INR 35000 before registration of the land 
                    ","Stamps and Registration","Land Registration","Paid INR 35,000
                        ","October 25, 2015","Chikmagalur
                      , Karnataka","80569"
"249","322 views","
                      I paid a bribe to a police officer
                    ","Passport","Police Verification for Passport","Paid INR 250
                        ","October 25, 2015","New Delhi
                      , Delhi","80539"
"250","232 views","
                      I Paid Rs. 120 to Municipal Services in Pune.
                    ","Municipal Services","Birth Certificate","Paid INR 120
                        ","October 25, 2015","Pune
                      , Maharashtra","80515"
"251","275 views","
                      Bribe paid to Customs Officials at Hyderabad International Airport
                    ","Airports","Immigration Check","Paid INR 2,000
                        ","October 25, 2015","Hyderabad
                      , Telangana","80499"
"252","248 views","
                      I Paid Rs. 100 to Municipal Services in Hyderabad.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 25, 2015","Hyderabad
                      , Telangana","80496"
"253","244 views","
                      I Paid Rs. 25 to Municipal Services in Chennai.
                    ","Municipal Services","Birth Certificate","Paid INR 25
                        ","October 25, 2015","Chennai
                      , Tamil Nadu","80491"
"254","220 views","
                      I Paid Rs. 500000 to Municipal Services in Aurangabad.
                    ","Municipal Services","Birth Certificate","Paid INR 5,00,000
                        ","October 25, 2015","Aurangabad
                      , Maharashtra","80490"
"255","211 views","
                      I Paid Rs. 100 to Municipal Services in Ulhasnagar.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 24, 2015","Ulhasnagar
                      , Maharashtra","80481"
"256","248 views","
                      I Paid Rs. 2000 to Income Tax in Chennai.
                    ","Income Tax","New PAN Card","Paid INR 2,000
                        ","October 24, 2015","Chennai
                      , Tamil Nadu","80480"
"257","262 views","
                      I Paid Rs. 100 to Police in New Delhi.
                    ","Police","Traffic Violations","Paid INR 100
                        ","October 24, 2015","New Delhi
                      , Delhi","80475"
"258","206 views","
                      I Paid Rs. 1999 to Municipal Services in Thiruvananthapuram.
                    ","Municipal Services","Birth Certificate","Paid INR 1,999
                        ","October 24, 2015","Thiruvananthapuram
                      , Kerala","80470"
"259","201 views","
                      I Paid Rs. 300000 to Municipal Services in Kolkata.
                    ","Municipal Services","Birth Certificate","Paid INR 3,00,000
                        ","October 24, 2015","Kolkata
                      , West Bengal","80469"
"260","211 views","
                      I Paid Rs. 100 to Municipal Services in Chennai.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 24, 2015","Chennai
                      , Tamil Nadu","80462"
"261","265 views","
                      I Paid Rs. 800000 to Stamps and Registration in Mumbai.
                    ","Stamps and Registration","Registration of Property","Paid INR 8,00,000
                        ","October 24, 2015","Mumbai
                      , Maharashtra","80455"
"262","216 views","
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 24, 2015","Abhayapuri
                      , Assam","80454"
"263","276 views","
                      I Paid Rs. 248 to Transport in New Delhi.
                    ","Transport","Duplicate Registration Certificate","Paid INR 248
                        ","October 24, 2015","New Delhi
                      , Delhi","80433"
"264","218 views","
                      I Paid Rs. 123456 to Others in Dadri.
                    ","Others","Others","Paid INR 1,23,456
                        ","October 24, 2015","Dadri
                      , Uttar Pradesh","80429"
"265","182 views","
                      I Paid Rs. 10 to Municipal Services in Bhopal.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 24, 2015","Bhopal
                      , Madhya Pradesh","80424"
"266","206 views","
                      I Paid Rs. 500 to Police in Lucknow.
                    ","Police","Filing FIR","Paid INR 500
                        ","October 24, 2015","Lucknow
                      , Uttar Pradesh","80423"
"267","178 views","
                      I Paid Rs. 12000 to Municipal Services in Mumbai.
                    ","Municipal Services","Birth Certificate","Paid INR 12,000
                        ","October 24, 2015","Mumbai
                      , Maharashtra","80412"
"268","214 views","
                      For taking  an action on filed complaint.
                    ","Police","Lodging Police Complaint","Paid INR 8,000
                        ","October 24, 2015","Ghaziabad
                      , Uttar Pradesh","80405"
"269","165 views","
                      I Paid Rs. 100 to Municipal Services in Adilabad.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 24, 2015","Adilabad
                      , Telangana","80403"
"270","174 views","
                      I Paid Rs. 150 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 150
                        ","October 24, 2015","Abhayapuri
                      , Assam","80399"
"271","160 views","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gwalior.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 100
                        ","October 24, 2015","Gwalior
                      , Madhya Pradesh","80397"
"272","201 views","
                      I Paid Rs. 100 to Income Tax in Mumbai.
                    ","Income Tax","New PAN Card","Paid INR 100
                        ","October 24, 2015","Mumbai
                      , Maharashtra","80377"
"273","190 views","
                      I Paid Rs. 1 to Municipal Services in Indore.
                    ","Municipal Services","Birth Certificate","Paid INR 1
                        ","October 23, 2015","Indore
                      , Madhya Pradesh","80371"
"274","180 views","
                      I Paid Rs. 1200 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 1,200
                        ","October 23, 2015","Abhayapuri
                      , Assam","80370"
"275","200 views","
                      I Paid Rs. 6000 to Others in Abhayapuri.
                    ","Others","Others","Paid INR 6,000
                        ","October 23, 2015","Abhayapuri
                      , Assam","80366"
"276","249 views","
                      I Paid Rs. 50000 to Stamps and Registration in Abohar.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 50,000
                        ","October 23, 2015","Abohar
                      , Punjab","80362"
"277","185 views","
                      I Paid Rs. 15111 to Municipal Services in Surat.
                    ","Municipal Services","Birth Certificate","Paid INR 15,111
                        ","October 23, 2015","Surat
                      , Gujarat","80360"
"278","159 views","
                      I Paid Rs. 100 to Municipal Services in Shivpuri.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 23, 2015","Shivpuri
                      , Madhya Pradesh","80359"
"279","164 views","
                      I Paid Rs. 50 to Municipal Services in Pune.
                    ","Municipal Services","Birth Certificate","Paid INR 50
                        ","October 23, 2015","Pune
                      , Maharashtra","80358"
"280","206 views","
                      I Paid Rs. 120 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 120
                        ","October 23, 2015","New Delhi
                      , Delhi","80352"
"281","176 views","
                      I Paid Rs. 300 to Others in Belgaum.
                    ","Others","Others","Paid INR 300
                        ","October 23, 2015","Belgaum
                      , Karnataka","80351"
"282","178 views","
                      I Paid Rs. 10 to Customs, Excise and Service Tax in Palasa Kasibugga.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 10
                        ","October 23, 2015","Palasa Kasibugga
                      , Andhra Pradesh","80350"
"283","138 views","
                      I Paid Rs. 1000 to Municipal Services in Agartala.
                    ","Municipal Services","Birth Certificate","Paid INR 1,000
                        ","October 23, 2015","Agartala
                      , Tripura","80349"
"284","151 views","
                      I Paid Rs. 15000 to Municipal Services in Uttara Kannada.
                    ","Municipal Services","Birth Certificate","Paid INR 15,000
                        ","October 23, 2015","Uttara Kannada
                      , Karnataka","80347"
"285","173 views","
                      I Paid Rs. 10 to Others in Maldah.
                    ","Others","Others","Paid INR 10
                        ","October 23, 2015","Maldah
                      , West Bengal","80338"
"286","178 views","
                      I Paid Rs. 250000 to Income Tax in Madurai.
                    ","Income Tax","New PAN Card","Paid INR 2,50,000
                        ","October 23, 2015","Madurai
                      , Tamil Nadu","80336"
"287","158 views","
                      I Paid Rs. 2500 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 2,500
                        ","October 23, 2015","Abhayapuri
                      , Assam","80333"
"288","153 views","
                      I Paid Rs. 1400 to Municipal Services in Vadakara.
                    ","Municipal Services","Birth Certificate","Paid INR 1,400
                        ","October 23, 2015","Vadakara
                      , Kerala","80317"
"289","246 views","
                      Airport customs Red channel
                    ","Airports","Customs","Paid INR 1,100
                        ","October 23, 2015","Mumbai
                      , Maharashtra","80221"
"290","277 views","
                      I Paid Rs. 1000 to Railways in Chennai.
                    ","Railways","Transport of Goods","Paid INR 1,000
                        ","October 22, 2015","Chennai
                      , Tamil Nadu","80219"
"291","214 views","
                      I Paid Rs. 200 to Police in Gurgaon.
                    ","Police","Filing FIR","Paid INR 200
                        ","October 22, 2015","Gurgaon
                      , Haryana","80218"
"292","212 views","
                      I Paid Rs. 100 to Others in Kota.
                    ","Others","Others","Paid INR 100
                        ","October 22, 2015","Kota
                      , Rajasthan","80216"
"293","235 views","
                      I Paid Rs. 500 to Police in Kolkata.
                    ","Police","Filing FIR","Paid INR 500
                        ","October 22, 2015","Kolkata
                      , West Bengal","80199"
"294","280 views","
                      I Paid Rs. 76 to Others in New Delhi.
                    ","Others","Others","Paid INR 76
                        ","October 22, 2015","New Delhi
                      , Delhi","80193"
"295","244 views","
                      I Paid Rs. 42 to Others in Ponnur.
                    ","Others","Others","Paid INR 42
                        ","October 22, 2015","Ponnur
                      , Andhra Pradesh","80190"
"296","195 views","
                      I Paid Rs. 10 to Municipal Services in Jaunpur.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 22, 2015","Jaunpur
                      , Uttar Pradesh","80162"
"297","203 views","
                      I Paid Rs. 21 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 21
                        ","October 22, 2015","Abhayapuri
                      , Assam","80158"
"298","186 views","
                      I Paid Rs. 122 to Municipal Services in Bhagalpur.
                    ","Municipal Services","Birth Certificate","Paid INR 122
                        ","October 22, 2015","Bhagalpur
                      , Bihar","80151"
"299","259 views","
                      I Paid Rs. 500 to Transport in Abohar.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 22, 2015","Abohar
                      , Punjab","80142"
"300","170 views","
                      I paid Rs.3000(approx.) to get Birth Certificate for myself
                    ","Municipal Services","Birth Certificate","Paid INR 3,000
                        ","October 22, 2015","Narasaraopet
                      , Andhra Pradesh","80140"
"301","201 views","
                      I Paid Rs. 1000 to Municipal Services in Chennai.
                    ","Municipal Services","Birth Certificate","Paid INR 1,000
                        ","October 22, 2015","Chennai
                      , Tamil Nadu","80119"
"302","219 views","
                      I Paid Rs. 99 to Income Tax in Adari.
                    ","Income Tax","New PAN Card","Paid INR 99
                        ","October 22, 2015","Adari
                      , Uttar Pradesh","80118"
"303","237 views","
                      I Paid Rs. 22 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 22
                        ","October 21, 2015","Abhayapuri
                      , Assam","80117"
"304","255 views","
                      I Paid Rs. 3000 to Transport in Bidar.
                    ","Transport","New Domestic Driving License","Paid INR 3,000
                        ","October 21, 2015","Bidar
                      , Karnataka","80116"
"305","196 views","
                      I Paid Rs. 22 to Income Tax in Amarpur.
                    ","Income Tax","New PAN Card","Paid INR 22
                        ","October 21, 2015","Amarpur
                      , Bihar","80112"
"306","195 views","
                      I Paid Rs. 300 to Municipal Services in Chandigarh.
                    ","Municipal Services","Birth Certificate","Paid INR 300
                        ","October 21, 2015","Chandigarh
                      , Chandigarh","80098"
"307","265 views","
                      I Paid Rs. 8 to Stamps and Registration in Abhayapuri.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 8
                        ","October 21, 2015","Abhayapuri
                      , Assam","80096"
"308","215 views","
                      I Paid Rs. 5 to Others in Kurnool.
                    ","Others","Others","Paid INR 5
                        ","October 21, 2015","Kurnool
                      , Andhra Pradesh","80092"
"309","200 views","
                      I Paid Rs. 100 to Others in Jaipur.
                    ","Others","Others","Paid INR 100
                        ","October 21, 2015","Jaipur
                      , Rajasthan","80080"
"310","248 views","
                      I Paid Rs. 876776 to Police in Agra.
                    ","Police","Police Harassment","Paid INR 8,76,776
                        ","October 21, 2015","Agra
                      , Uttar Pradesh","80072"
"311","178 views","
                      I Paid Rs. 5000 to Others in Aligarh.
                    ","Others","Others","Paid INR 5,000
                        ","October 21, 2015","Aligarh
                      , Uttar Pradesh","80064"
"312","205 views","
                      I Paid Rs. 123 to Transport in Adityapur.
                    ","Transport","New Domestic Driving License","Paid INR 123
                        ","October 21, 2015","Adityapur
                      , Jharkhand","80058"
"313","220 views","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 100
                        ","October 21, 2015","Abohar
                      , Punjab","80047"
"314","227 views","
                      100 rs for an FIR copy
                    ","Police","Filing FIR","Paid INR 100
                        ","October 21, 2015","Imphal
                      , Manipur","80045"
"315","198 views","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 1,000
                        ","October 21, 2015","Achhnera
                      , Uttar Pradesh","80040"
"316","156 views","
                      I Paid Rs. 200 to Municipal Services in Pratapgarh.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","October 21, 2015","Pratapgarh
                      , Tripura","80029"
"317","182 views","
                      I Paid Rs. 1000 to Police in Ahmedabad.
                    ","Police","Traffic Violations","Paid INR 1,000
                        ","October 21, 2015","Ahmedabad
                      , Gujarat","80025"
"318","154 views","
                      I Paid Rs. 700 to Municipal Services in Chennai.
                    ","Municipal Services","Birth Certificate","Paid INR 700
                        ","October 21, 2015","Chennai
                      , Tamil Nadu","80000"
"319","187 views","
                      I Paid Rs. 30000 to Municipal Services in Dhanbad.
                    ","Municipal Services","Birth Certificate","Paid INR 30,000
                        ","October 21, 2015","Dhanbad
                      , Jharkhand","79989"
"320","167 views","
                      I Paid Rs. 100 to Municipal Services in Durgapur.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 21, 2015","Durgapur
                      , West Bengal","79988"
"321","185 views","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Basti.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 100
                        ","October 21, 2015","Basti
                      , Uttar Pradesh","79985"
"322","183 views","
                      I Paid Rs. 9000 to Others in Hyderabad.
                    ","Others","Others","Paid INR 9,000
                        ","October 20, 2015","Hyderabad
                      , Telangana","79979"
"323","171 views","
                      I Paid Rs. 5000 to Municipal Services in Mumbai.
                    ","Municipal Services","Birth Certificate","Paid INR 5,000
                        ","October 20, 2015","Mumbai
                      , Maharashtra","79966"
"324","224 views","
                      I Paid Rs. 44 to  in .
                    ","","","Paid INR 44
                        ","October 20, 2015","
                      , ","79965"
"325","220 views","
                      I Paid Rs. 100 to Railways in Bina.
                    ","Railways","Transport of Goods","Paid INR 100
                        ","October 20, 2015","Bina
                      , Madhya Pradesh","79961"
"326","241 views","
                      For the Birth Certificate of My Daughter
                    ","Municipal Services","Birth Certificate","Paid INR 300
                        ","October 20, 2015","Bangalore
                      , Karnataka","79941"
"327","264 views","
                      For Wrong Parking of Two Wheeler
                    ","Police","Traffic Violations","Paid INR 300
                        ","October 20, 2015","Bangalore
                      , Karnataka","79940"
"328","230 views","
                      Have to pay the bribe even after having right documents
                    ","Transport","Duplicate Driving License","Paid INR 500
                        ","October 20, 2015","Jaipur
                      , Rajasthan","79926"
"329","182 views","
                      I Paid Rs. 200 to Municipal Services in Udaipur.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","October 20, 2015","Udaipur
                      , Tripura","79922"
"330","193 views","
                      I Paid Rs. 200 to Municipal Services in Mumbai.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","October 20, 2015","Mumbai
                      , Maharashtra","79920"
"331","295 views","
                      Paid Bribe for filing ER 1 Return and for other certificate
                    ","Customs, Excise and Service Tax","Excise Return","Paid INR 34,000
                        ","October 20, 2015","Bangalore
                      , Karnataka","79856"
"332","240 views","
                      I Paid Rs. 500 to Transport in Abohar.
                    ","Transport","New Domestic Driving License","Paid INR 500
                        ","October 20, 2015","Abohar
                      , Punjab","79841"
"333","182 views","
                      I Paid Rs. 500 to Municipal Services in Bharatpur.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 20, 2015","Bharatpur
                      , Rajasthan","79831"
"334","390 views","
                      I Paid Rs. 3500 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 3,500
                        ","October 19, 2015","Bangalore
                      , Karnataka","79796"
"335","257 views","
                      I Paid Rs. 12000 to Municipal Services in Ludhiana.
                    ","Municipal Services","Birth Certificate","Paid INR 12,000
                        ","October 19, 2015","Ludhiana
                      , Punjab","79785"
"336","239 views","
                      I Paid Rs. 4000 to Transport in Adari.
                    ","Transport","Registration of Vehicle","Paid INR 4,000
                        ","October 19, 2015","Adari
                      , Uttar Pradesh","79771"
"337","271 views","
                      I Paid Rs. 15000 to Others in New Delhi.
                    ","Others","Others","Paid INR 15,000
                        ","October 19, 2015","New Delhi
                      , Delhi","79768"
"338","253 views","
                      I Paid Rs. 100 to Municipal Services in New Delhi.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 19, 2015","New Delhi
                      , Delhi","79758"
"339","238 views","
                      I Paid Rs. 54 to Income Tax in Faizabad.
                    ","Income Tax","New PAN Card","Paid INR 54
                        ","October 19, 2015","Faizabad
                      , Uttar Pradesh","79755"
"340","230 views","
                      I Paid Rs. 3500 to Municipal Services in Lucknow.
                    ","Municipal Services","Birth Certificate","Paid INR 3,500
                        ","October 19, 2015","Lucknow
                      , Uttar Pradesh","79751"
"341","221 views","
                      I Paid Rs. 100 to Municipal Services in Dharmapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 19, 2015","Dharmapuri
                      , Tamil Nadu","79743"
"342","228 views","
                      I Paid Rs. 2525 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 2,525
                        ","October 19, 2015","Abhayapuri
                      , Assam","79725"
"343","204 views","
                      I Paid Rs. 200 to Municipal Services in Abohar.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","October 19, 2015","Abohar
                      , Punjab","79705"
"344","264 views","
                      I Paid Rs. 2500 to Municipal Services in Pune.
                    ","Municipal Services","Birth Certificate","Paid INR 2,500
                        ","October 18, 2015","Pune
                      , Maharashtra","79665"
"345","270 views","
                      I Paid Rs. 10 to Others in Chennai.
                    ","Others","Others","Paid INR 10
                        ","October 18, 2015","Chennai
                      , Tamil Nadu","79653"
"346","291 views","
                      I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 100
                        ","October 18, 2015","Abhayapuri
                      , Assam","79645"
"347","257 views","
                      I Paid Rs. 100 to Others in Chennai.
                    ","Others","Others","Paid INR 100
                        ","October 18, 2015","Chennai
                      , Tamil Nadu","79639"
"348","294 views","
                      I Paid Rs. 700 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 700
                        ","October 18, 2015","Abhayapuri
                      , Assam","79627"
"349","309 views","
                      I Paid Rs. 1000 to Others in Bangalore.
                    ","Others","Others","Paid INR 1,000
                        ","October 18, 2015","Bangalore
                      , Karnataka","79620"
"350","263 views","
                      I Paid Rs. 6000 to Municipal Services in Pune.
                    ","Municipal Services","Birth Certificate","Paid INR 6,000
                        ","October 18, 2015","Pune
                      , Maharashtra","79612"
"351","237 views","
                      I Paid Rs. 19 to Municipal Services in Ludhiana.
                    ","Municipal Services","Birth Certificate","Paid INR 19
                        ","October 18, 2015","Ludhiana
                      , Punjab","79600"
"352","315 views","
                      I paid bribe for Katha Transfer BBMP
                    ","Revenue","Residence Certificate","Paid INR 15,000
                        ","October 18, 2015","Bangalore
                      , Karnataka","79593"
"353","496 views","
                      Name of the officer = sandipan guha date of incident = 7th sep 2015…
                    ","Police","Filing FIR","Paid INR 10,000
                        ","October 17, 2015","Barrackpur
                      , West Bengal","79585"
"354","236 views","
                      I Paid Rs. 100 to Municipal Services in Adari.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 17, 2015","Adari
                      , Uttar Pradesh","79571"
"355","283 views","
                      Paid Bribe for Getting Stipend in M.Tech  during my studies- Andhra University
                    ","Education","Obtaining Scholarship","Paid INR 5,000
                        ","October 17, 2015","Visakhapatnam
                      , Andhra Pradesh","79564"
"356","274 views","
                      I Paid Rs. 441 to Commercial Tax, Sales Tax, VAT in Adari.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 441
                        ","October 17, 2015","Adari
                      , Uttar Pradesh","79559"
"357","274 views","
                      I Paid Rs. 10000 to Others in Mumbai.
                    ","Others","Others","Paid INR 10,000
                        ","October 17, 2015","Mumbai
                      , Maharashtra","79536"
"358","322 views","
                      I Paid Rs. 25000 to Police in Adari.
                    ","Police","Filing FIR","Paid INR 25,000
                        ","October 17, 2015","Adari
                      , Uttar Pradesh","79524"
"359","256 views","
                      I Paid Rs. 4300 to Municipal Services in Bhuj.
                    ","Municipal Services","Birth Certificate","Paid INR 4,300
                        ","October 17, 2015","Bhuj
                      , Gujarat","79523"
"360","267 views","
                      I Paid Rs. 15 to Income Tax in New Delhi.
                    ","Income Tax","New PAN Card","Paid INR 15
                        ","October 17, 2015","New Delhi
                      , Delhi","79515"
"361","234 views","
                      I Paid Rs. 200 to Income Tax in Mumbai.
                    ","Income Tax","New PAN Card","Paid INR 200
                        ","October 17, 2015","Mumbai
                      , Maharashtra","79494"
"362","220 views","
                      I Paid Rs. 1000 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 1,000
                        ","October 17, 2015","Abhayapuri
                      , Assam","79463"
"363","212 views","
                      Property Tax Collector takes bribe but issues remain pending.
                    ","Municipal Services","Property Tax","Paid INR 7,000
                        ","October 16, 2015","Chennai
                      , Tamil Nadu","79452"
"364","220 views","
                      I Paid Rs. 2000000 to Income Tax in Mumbai.
                    ","Income Tax","New PAN Card","Paid INR 20,00,000
                        ","October 16, 2015","Mumbai
                      , Maharashtra","79449"
"365","263 views","
                      I Paid Rs. 200 to Police in Kakinada.
                    ","Police","Police Clearance Certificate","Paid INR 200
                        ","October 16, 2015","Kakinada
                      , Andhra Pradesh","79440"
"366","249 views","
                      Corrupt loafers of DEO office madurai
                    ","Education","School or College Related Activities","Paid INR 1,000
                        ","October 16, 2015","Madurai
                      , Tamil Nadu","79431"
"367","245 views","
                      I Paid Rs. 1000 to Municipal Services in Adilabad.
                    ","Municipal Services","Birth Certificate","Paid INR 1,000
                        ","October 16, 2015","Adilabad
                      , Telangana","79396"
"368","203 views","
                      I Paid Rs. 5 to Municipal Services in Kolkata.
                    ","Municipal Services","Birth Certificate","Paid INR 5
                        ","October 16, 2015","Kolkata
                      , West Bengal","79354"
"369","296 views","
                      Was asked to Pay a Bribe of 500 for Police Verifiaction
                    ","Police","Police Verification for Passport","Paid INR 500
                        ","October 15, 2015","Howrah
                      , West Bengal","79262"
"370","273 views","
                      I paid bribe to get approval of plan to build house
                    ","Municipal Services","Registration of Land","Paid INR 1,00,000
                        ","October 15, 2015","Kolkata
                      , West Bengal","79258"
"371","258 views","
                      I Paid Rs. 100 to Municipal Services in Kota.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","October 15, 2015","Kota
                      , Rajasthan","79242"
"372","333 views","
                      New connection request - paid INR 5300 receipt only for ~ INR 4800
                    ","Food, Civil Supplies and Consumer Affairs","New Gas Connection","Paid INR 500
                        ","October 15, 2015","Bangalore
                      , Karnataka","79232"
"373","258 views","
                      I Paid Rs. 5 to Commercial Tax, Sales Tax, VAT in Mumbai.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 5
                        ","October 15, 2015","Mumbai
                      , Maharashtra","79193"
"374","412 views","
                      I have Piad bride in RTO Office
                    ","Transport","General RTO related","Paid INR 2,000
                        ","October 15, 2015","Bangalore
                      , Karnataka","79149"
"375","255 views","
                      I Paid Rs. 300 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 300
                        ","October 14, 2015","Abhayapuri
                      , Assam","79142"
"376","463 views","
                      Paid bribe for Police clearance
                    ","Passport","Police Verification for Passport","Paid INR 2,500
                        ","October 14, 2015","Pune
                      , Maharashtra","79102"
"377","298 views","
                      I Paid Rs. 20 to Police in Kurnool.
                    ","Police","Traffic Violations","Paid INR 20
                        ","October 14, 2015","Kurnool
                      , Andhra Pradesh","79086"
"378","259 views","
                      I Paid Rs. 20 to Municipal Services in Siliguri.
                    ","Municipal Services","Birth Certificate","Paid INR 20
                        ","October 14, 2015","Siliguri
                      , West Bengal","79081"
"379","281 views","
                      I Paid Rs. 10 to Customs, Excise and Service Tax in Pithoragarh.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 10
                        ","October 14, 2015","Pithoragarh
                      , Uttarakhand","79080"
"380","375 views","
                      I Paid Rs. 20000 to Stamps and Registration in Tumkur.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 20,000
                        ","October 14, 2015","Tumkur
                      , Karnataka","79075"
"381","221 views","
                      I Paid Rs. 10 to Municipal Services in Hubli.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 14, 2015","Hubli
                      , Karnataka","79062"
